kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt
A14313001,화양현대,자치관리,4,,자치관리,3,,자치관리,1,음식물쓰레기종량제,자치관리,1,,철근콘크리트구조,780,종합계약,위탁선임,P형,부스타방식,위탁관리,5,45,221,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 7호선",건대입구,10~15분이내,병원(건대부속병원) 대형상가(한아름쇼핑센터) 공원(어린이대공원),초등학교(성수초) 대학교(건국대),0,0
A10022248,광진동양파라곤,위탁관리,4,에이제이대원 주식회사,,,,위탁관리(직영+위탁),3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,750,단일계약,상주선임,R형,부스타방식,위탁관리,4,5,230,무,84,"관리사무소, 자전거보관소",5분이내,7호선,어린이대공원역,5~10분이내,,,0,3
A10028012,광진We’vePark,위탁관리,,우리관리(주),,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,공원(얼니이대고원),"초등학교(장안초,화양초,세종초) 대학교(세종대,건국대)",0,0
A14383901,군자일성파크,위탁관리,4,서일개발주식회사,위탁관리,7,인덕종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,350,기타,위탁선임,P형,부스타방식,위탁관리,5,152,210,무,40,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",5분이내,"5호선, 7호선",군자역/어린이대공원역,5~10분이내,,,0,7
A10026147,신설동 지웰홈스,위탁관리,4,주식회사 에스엘플랫폼,,,,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2160,종합계약,상주선임,R형,부스타방식,위탁관리,3,0,143,유,64,"관리사무소, 커뮤니티공간",5분이내,"1호선, 2호선",신설동역,5분이내,공원(),,0,1
A10022979,청계한양아이클래스,,6,율산개발 유한회사,,0,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,1660,단일계약,상주선임,R형,압력탱크식,,0,66,86,무,20,"관리사무소, 자전거보관소",,"1호선, 2호선",신설동역,,,,0,0
A10023188,청량리역 한양수자인 그라시엘,위탁관리,12,에이제이대원 주식회사,위탁관리,11,에스케이쉴더스(주),위탁관리,21,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,7950,종합계약,상주선임,R형,부스타방식,위탁관리,32,0,1381,유,785,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 경의중앙선, 경춘선",,5분이내,관공서(동대문구청) 백화점(롯데백화점),,0,68
A10023389,청량리역해링턴플레이스,위탁관리,6,에이제이대원 주식회사,자치관리(직영),4,,자치관리(직영),3,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,2850,종합계약,상주선임,R형,부스타방식,관리방식미정,4,0,180,유,50,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,관공서(동대문구청) 병원(경희대병원) 백화점(롯데백화점),초등학교(답십리초등학교) 중학교(동대문중학교) 고등학교(청량정보고등학교) 대학교(서울시립대학교),0,4
A10023633,래미안 엘리니티,위탁관리,10,(주)케이비아주,위탁관리,9,Sk쉴더스(주),위탁관리,12,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,5049,종합계약,상주선임,R형,부스타방식,위탁관리,36,0,1193,유,490,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,"관공서(용신동주민센터) 병원(서울특별시동부병원, 고려대학교안암병원)","초등학교(서울용두초등학교, 서울동명초등학교) 중학교(성일중학교) 대학교(고려대학교)",0,61
A10024042,e편한세상 청계 센트럴포레,위탁관리,8,에이제이대원 주식회사,위탁관리,5,(주)에스원,위탁관리,10,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,20,0,1112,유,370,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5~10분이내,,,0,32
A10027274,동대문푸르지오시티,위탁관리,7,(주)동우개발,자치관리(직영),3,,위탁관리,8,차량수거방식,위탁관리,6,"도포식,분무식,기구부착식",철근콘크리트구조,3050,종합계약,상주선임,GR형,부스타방식,위탁관리,3,0,450,유,76,"관리사무소, 주민공동시설, 휴게시설",5분이내,1호선,제기역,5분이내,병원() 대형상가() 공원(),,0,5
A10028080,용두 롯데 캐슬리치 아파트,위탁관리,5,(주)동우개발,위탁관리,4,(주)혜진종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,16,0,337,무,122,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,제기동역 1번출구,5분이내,"관공서(용두건강관리협회, 행복문화재단) 병원(고대병원, 우신향병원) 백화점(미아롯데백화점, 미아현대백화점) 대형상가(홈플러스) 공원()","초등학교(안암초등학교, 청량초등학교) 중학교(대광중학교, 용문중학교, 성신여중) 고등학교(대광고등학교, 용문고등학교, 성신여고) 대학교(성신여대, 고려대)",0,0
A13007001,용두두산위브,위탁관리,4,국제경보산업,위탁관리,4,선우환경관리,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,기구부착식,독이식",철골콘크리트구조,1900,종합계약,상주선임,R형,부스타방식,위탁관리,10,24,395,무,74,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,관공서() 병원() 대형상가() 공원(),,0,4
A13007002,용두롯데캐슬피렌체,위탁관리,4,광인산업(주),위탁관리,4,명원실업,위탁관리,3,기타,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,11,13,426,유,85,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"1호선, 2호선",제기동,5분이내,"관공서(동대문구청) 병원(고려대안암병원, 한양대병원) 백화점(청량리 롯데백화점) 대형상가(홈플러스, 롯데마트) 공원(용두근린공원) 기타(경동시장)","초등학교(용두초교) 중학교(성일중) 고등학교(대광고) 대학교(고려대학교,경희대학교)",0,0
A13007004,용두신동아,위탁관리,7,(주)경진관리,위탁관리,10,(주)경진관리,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2160,단일계약,상주선임,P형,부스타방식,위탁관리,15,270,178,무,124,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",10~15분이내,"1호선, 2호선",동대문구청,15~20분이내,"관공서(동대문구청,용신지구대,용신동주민센터,우체국,동대문경찰서,청량리경찰사) 병원(시립동부병) 대형상가(홈플러스) 공원(용머리어린이공원,근린공) 기타(성동종합사회복지관)",초등학교(용두초등학교) 중학교(숭인중학교) 고등학교(대광고등학교) 대학교(),9,0
A13070301,래미안허브리츠,위탁관리,8,에이제이대원 주식회사,위탁관리,9,한국보안컨설팅(주),위탁관리,8,차량수거방식,위탁관리,4,"분무식,기구부착식",철골철근콘크리트구조,3500,단일계약,상주선임,R형,부스타방식,위탁관리,24,0,1208,무,199,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,"관공서(동대문구청,용신동주민센터) 대형상가(홈플러스)",,0,26
A13070302,래미안용두1차,위탁관리,3,(주)미래에이비엠,위탁관리,2,(주)이오티앤디,위탁관리,1,차량수거방식,위탁관리,4,"기구부착식,독이식",철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,2,0,215,무,41,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,제기역,5분이내,병원(시립동부) 백화점(롯데),초등학교(용두) 중학교(답십리),0,4
A10020729,리스트안암,위탁관리,,케이에프앤에스주식회사,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5분이내,,,0,0
A13006002,제기현대,위탁관리,4,남경종합관리(주),위탁관리,4,백송종합관리(주),위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,850,단일계약,상주선임,P형,부스타방식,위탁관리,5,53,250,무,73,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,제기역,5분이내,관공서(동대문구청) 병원(고대안암병원) 백화점(청량리롯데백화점) 대형상가(롯데마트) 공원(선농단어린이공원) 기타(경동시장),초등학교(홍파초등학교) 중학교(성일중학교) 고등학교() 대학교(고려대학교),0,3
A13006003,제기이수브라운스톤,위탁관리,4,율산개발 유한회사,위탁관리,4,(주)에코그린티엠,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,9,0,352,무,108,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,"1호선, 2호선, 6호선","제기역, 안암역",5~10분이내,관공서(제기2동사무소) 병원(활인당한의원) 백화점(롯데백화점) 대형상가(LG하이프라자) 공원(선농단어린이공원) 기타(경동시장),초등학교(종암초등학교) 중학교(성일중학교) 고등학교() 대학교(고려대학교),0,20
A13006101,제기한신,위탁관리,9,(주)케이비아주,위탁관리,16,(주)케이비아주,위탁관리,10,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,3550,단일계약,상주선임,R형,부스타방식,위탁관리,21,283,1053,유,111,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,6호선,,5~10분이내,"관공서(동대문구청, 동대문소방서) 병원(고대종합병원, 동신방한의원) 백화점(현대백화점, 롯데백화점) 대형상가(이마트, 홈플러스) 기타(경동시장)",초등학교(홍파초등학교) 중학교(정화여자중학교) 고등학교(정화여자상업고등학교) 대학교(고려대학교),0,10
A13077201,제기한신제2임대아파트,위탁관리,4,푸르지오서비스(주),위탁관리,4,(주)융성종합관리,위탁관리,1,차량수거방식,위탁관리,12,독이식,철근콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,3,6,108,무,34,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,6호선,고려대역,5~10분이내,"관공서(동대문구청, 동대문경찰서) 병원(경희대학교 병원, 고려대학교병원) 백화점(청량리 롯데백화점) 대형상가(경동시장,청량리 청과물시장) 공원(수목원) 기타()",초등학교(홍파초등학교) 중학교(서울사대부속중학교) 고등학교(서울사대부속고등학교) 대학교(고려대학교),0,3
A13086101,제기안암골벽산,위탁관리,6,(주)무림하우징,위탁관리,6,(주)승학,위탁관리,6,기타,위탁관리,4,"도포식,분무식",철근콘크리트구조,2305,단일계약,상주선임,R형,고가수조식,위탁관리,15,104,786,무,146,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,6호선,,5~10분이내,"관공서(제기2동사무소) 병원(인성한의원,우신향병원) 백화점(청량리 롯데박화점) 대형상가(LG하이프라자,삼성홈플러스) 공원(선농단어린이공원) 기타(경동시장,용두시장)","초등학교(종암초교,홍파초등학교) 중학교(성일중학교,용문중) 고등학교(용문고) 대학교(고려대학교)",0,18
A10020757,전농하우스토리,,,(주)세안텍스,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0
A10023083,청량리역 롯데캐슬 SKY-L65,위탁관리,13,자이에스앤디(주),위탁관리,9,에스텍시스템,위탁관리,13,거점장비수거방식,위탁관리,,,철근콘크리트구조,17650,종합계약,상주선임,GR형,부스타방식,위탁관리,38,0,1712,유,1057,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,,,0,84
A10026180,롯데캐슬노블레스,위탁관리,7,(주)무림하우징,위탁관리,5,(주)신화비엠씨,위탁관리,8,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,3750,단일계약,상주선임,GR형,부스타방식,위탁관리,16,0,672,유,207,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 분당선, 경의중앙선, 경춘선",,5~10분이내,"관공서(전농1동 주민센터, 동대문 구청) 병원(서울 성심병원) 백화점(롯데백화점) 대형상가(롯데마트) 공원(샛말공원)",초등학교(전농초등학교) 중학교(동대문중학교) 대학교(서울시립대학교),0,65
A13002002,래미안아름숲,위탁관리,7,(주)아주관리,위탁관리,6,SK쉴더스,위탁관리,10,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,1450,종합계약,상주선임,P형,부스타방식,위탁관리,28,0,987,유,188,"관리사무소, 노인정, 문고, 커뮤니티공간",5~10분이내,"1호선, 5호선, 7호선",답십리,15~20분이내,관공서(전농2동주민센터) 공원(배봉산) 기타(),초등학교(전동) 중학교(해성여중) 고등학교(국제컨벤션교) 대학교(서울시립),0,23
A13071301,전농동아임대,위탁관리,3,(주)다보산업관리,위탁관리,2,(주)이오티앤디,위탁관리,1,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,530,단일계약,상주선임,P형,고가수조식,위탁관리,3,27,19,무,19,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,"1호선, 2호선, 5호선",,10~15분이내,관공서(동대문구청) 병원(위생병원),초등학교(전농초) 중학교(동대문중) 고등학교(청량고) 대학교(서울시립대),0,0
A13071302,래미안크레시티,위탁관리,17,서림주택관리(주),위탁관리,21,(주)에스원,위탁관리,28,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철골콘크리트구조,13150,종합계약,상주선임,R형,부스타방식,위탁관리,79,0,2901,유,852,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 5호선, 경의중앙선, 경춘선",청량리,10~15분이내,"관공서(전농1동주민센터) 백화점(롯데백화점) 공원(간데메공원, 활터공원)","초등학교(전농, 전곡) 중학교(동대문) 대학교(서울시립대)",0,59
